,TIME:,2017-04-03T08:25:06-0700,,
,USER ID:,ADMIN-UCSF-ca007,,
,User Name:,ca007,,
,User Age:,12,,
,User Grade:,7,,
,User Gender:,FEMALE,,
,User Handedness:,RIGHT,,
,iPad Number:,34,,
,Test Type:,Real,,
,Build Number:,13,,
,OS Version:,10.2.1,,
,Device Type:,iPad Mini 3rd Gen," """"",
,ADAPTIVITY:,YES,,
Game Settings:,"{    Actual = 20;    Adaptive = 1;    ITI = 1000;    MaxInterval = 500;    P-Start"" = 1500;",,,
    Practice = 5;,,,,
    Start = 500;,,,,
    TRI = 200;,,,,
"}""",,,,
Right,,,,
Correct Button,Response Window,Response Time,Inter Time Interval,Late Response
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Left,,,,
Correct Button,Response Window,Response Time,Inter Time Interval,Late Response
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,TIME:,2017-04-03T10:18:08-0700,,
,USER ID:,ADMIN-UCSF-ca125,,
,User Name:,ca125,,
,User Age:,12,,
,User Grade:,7,,
,User Gender:,FEMALE,,
,User Handedness:,LEFT,,
,iPad Number:,34,,
,Test Type:,Real,,
,Build Number:,13,,
,OS Version:,10.2.1,,
,Device Type:,iPad Mini 3rd Gen," """"",
,ADAPTIVITY:,YES,,
Game Settings:,"{    Actual = 20;    Adaptive = 1;    ITI = 1000;    MaxInterval = 500;    P-Start"" = 1500;",,,
    Practice = 5;,,,,
    Start = 500;,,,,
    TRI = 200;,,,,
"}""",,,,
Right,,,,
Correct Button,Response Window,Response Time,Inter Time Interval,Late Response
0,500,N/A,500,0
0,(null),(null),(null),(null)
1,540,314.2510056,540,0
1,530,489.387989,540,0
1,520,387.6460195,540,0
1,500,369.7350025,540,0
1,460,375.8969903,540,0
1,380,302.8399944,540,0
0,220,292.6859856,540,1
0,260,335.6480002,540,1
0,300,357.7229977,540,1
1,380,257.12502,540,0
1,370,285.6959701,540,0
1,360,273.260951,540,0
1,340,255.9189796,540,0
0,300,307.1419597,540,1
1,340,255.1180124,540,0
1,330,291.6309834,540,0
0,320,334.7830176,540,1
1,360,321.3959932,540,0
,,,,
,,,,
Left,,,,
Correct Button,Response Window,Response Time,Inter Time Interval,Late Response
1,500,348.7679958,500,0
1,490,247.4220395,500,0
1,480,277.8909802,500,0
1,460,344.5990086,500,0
1,420,268.7569857,500,0
1,340,267.3630118,500,0
0,180,266.7189837,500,1
0,220,284.2000127,500,1
1,260,215.9529924,500,0
0,250,252.4920106,500,1
0,290,333.4160447,500,1
1,330,285.7789993,500,0
1,320,282.0060253,500,0
1,310,282.4029922,500,0
0,290,432.945013,500,1
1,330,317.8539872,500,0
1,320,248.9020228,500,0
0,310,334.7910047,500,1
1,350,258.5200071,500,0
1,340,227.118969,500,0