"Participant Id","Time Gameplayed Utc","Time Sent Utc","Detail","Condition","Trial Number","FPS Mean","FPS Variance","Finish Status","Session Type","OS Version","Screen Height","Screen Width","Build","Client Time Zone","Device DPI","Device Model","Device Type","Graphics Device Name","I18n","Processor Count","Processor Frequency","Runtime Platform","System Memory Size","Times Finished Game","Button Pressed","Correct Button","Cue Displayed","Late Response","Response Time","Response Window","Stimulus Color","Stimulus Shape","TaskSwitch State"
"atra10yy87v","2019-12-11T07:31:46.311Z","2019-12-11T07:31:46.311Z","","default","0","119.773125","63.32207","Successful","StartingWindow","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Purple Moon","1","Shape","1","917","-1","Purple","Moon","0"
"atra10yy87v","2019-12-11T07:31:46.311Z","2019-12-11T07:31:46.311Z","","default","1","119.773125","63.32207","Successful","StartingWindow","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Orange Sun","1","Shape","1","650","-1","Purple","Sun","2"
"atra10yy87v","2019-12-11T07:31:46.311Z","2019-12-11T07:31:46.311Z","","default","2","119.773125","63.32207","Successful","StartingWindow","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Orange Sun","1","Shape","1","450","-1","Orange","Sun","2"
"atra10yy87v","2019-12-11T07:31:46.311Z","2019-12-11T07:31:46.311Z","","default","3","119.773125","63.32207","Successful","StartingWindow","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Orange Sun","1","Color","1","600","-1","Orange","Sun","1"
"atra10yy87v","2019-12-11T07:31:46.311Z","2019-12-11T07:31:46.311Z","","default","4","119.773125","63.32207","Successful","StartingWindow","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Purple Moon","1","Shape","1","517","-1","Orange","Moon","1"
"atra10yy87v","2019-12-11T07:32:02.985Z","2019-12-11T07:32:02.985Z","","default","0","121.417671","54.45508","Successful","Real","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Purple Moon","1","Color","0","383","700","Purple","Sun","0"
"atra10yy87v","2019-12-11T07:32:02.985Z","2019-12-11T07:32:02.985Z","","default","1","121.417671","54.45508","Successful","Real","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Purple Moon","1","Shape","0","417","700","Purple","Moon","1"
"atra10yy87v","2019-12-11T07:32:02.985Z","2019-12-11T07:32:02.985Z","","default","2","121.417671","54.45508","Successful","Real","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Orange Sun","1","Shape","0","300","690","Orange","Sun","2"
"atra10yy87v","2019-12-11T07:32:02.985Z","2019-12-11T07:32:02.985Z","","default","3","121.417671","54.45508","Successful","Real","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Orange Sun","1","Color","0","367","690","Orange","Moon","1"
"atra10yy87v","2019-12-11T07:32:02.985Z","2019-12-11T07:32:02.985Z","","default","4","121.417671","54.45508","Successful","Real","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Purple Moon","1","Color","0","450","670","Purple","Sun","2"
"atra10yy87v","2019-12-11T07:32:02.985Z","2019-12-11T07:32:02.985Z","","default","5","121.417671","54.45508","Successful","Real","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Orange Sun","1","Shape","0","300","670","Orange","Sun","1"
"atra10yy87v","2019-12-11T07:32:02.985Z","2019-12-11T07:32:02.985Z","","default","6","121.417671","54.45508","Successful","Real","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Purple Moon","1","Color","0","450","640","Purple","Sun","1"
"atra10yy87v","2019-12-11T07:32:02.985Z","2019-12-11T07:32:02.985Z","","default","7","121.417671","54.45508","Successful","Real","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Orange Sun","1","Color","0","367","640","Orange","Moon","2"
"atra10yy87v","2019-12-11T07:32:02.985Z","2019-12-11T07:32:02.985Z","","default","8","121.417671","54.45508","Successful","Real","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Orange Sun","1","Color","0","333","600","Orange","Sun","2"
"atra10yy87v","2019-12-11T07:32:02.985Z","2019-12-11T07:32:02.985Z","","default","9","121.417671","54.45508","Successful","Real","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Orange Sun","1","Shape","0","384","600","Purple","Sun","1"
"atra10yy87v","2019-12-11T07:32:02.985Z","2019-12-11T07:32:02.985Z","","default","10","121.417671","54.45508","Successful","Real","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Purple Moon","1","Color","0","400","550","Purple","Moon","1"
"atra10yy87v","2019-12-11T07:32:02.985Z","2019-12-11T07:32:02.985Z","","default","11","121.417671","54.45508","Successful","Real","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Purple Moon","1","Color","0","433","550","Purple","Moon","2"
"atra10yy87v","2019-12-11T07:32:02.985Z","2019-12-11T07:32:02.985Z","","default","12","121.417671","54.45508","Successful","Real","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Orange Sun","1","Color","0","417","490","Orange","Moon","2"
"atra10yy87v","2019-12-11T07:32:02.985Z","2019-12-11T07:32:02.985Z","","default","13","121.417671","54.45508","Successful","Real","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Orange Sun","1","Shape","0","417","490","Purple","Sun","1"
"atra10yy87v","2019-12-11T07:32:02.985Z","2019-12-11T07:32:02.985Z","","default","14","121.417671","54.45508","Successful","Real","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Orange Sun","1","Color","0","333","420","Orange","Sun","1"
"atra10yy87v","2019-12-11T07:32:02.985Z","2019-12-11T07:32:02.985Z","","default","15","121.417671","54.45508","Successful","Real","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Orange Sun","0","Color","0","383","420","Purple","Sun","2"
"atra10yy87v","2019-12-11T07:32:02.985Z","2019-12-11T07:32:02.985Z","","default","16","121.417671","54.45508","Successful","Real","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Orange Sun","0","Color","0","417","460","Purple","Sun","2"
"atra10yy87v","2019-12-11T07:32:02.985Z","2019-12-11T07:32:02.985Z","","default","17","121.417671","54.45508","Successful","Real","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Purple Moon","1","Shape","1","383","340","Orange","Moon","1"
"atra10yy87v","2019-12-11T07:32:02.985Z","2019-12-11T07:32:02.985Z","","default","18","121.417671","54.45508","Successful","Real","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Orange Sun","1","Shape","0","350","540","Purple","Sun","2"
"atra10yy87v","2019-12-11T07:32:02.985Z","2019-12-11T07:32:02.985Z","","default","19","121.417671","54.45508","Successful","Real","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Purple Moon","1","Shape","0","334","530","Purple","Moon","2"
"atra10yy87v","2019-12-11T07:32:02.985Z","2019-12-11T07:32:02.985Z","","default","20","121.417671","54.45508","Successful","Real","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Purple Moon","0","Color","1","483","380","Orange","Moon","1"
"atra10yy87v","2019-12-11T07:32:02.985Z","2019-12-11T07:32:02.985Z","","default","21","121.417671","54.45508","Successful","Real","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Orange Sun","1","Color","0","350","510","Orange","Moon","2"
"atra10yy87v","2019-12-11T07:32:02.985Z","2019-12-11T07:32:02.985Z","","default","22","121.417671","54.45508","Successful","Real","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Orange Sun","1","Shape","0","433","460","Purple","Sun","1"
"atra10yy87v","2019-12-11T07:32:02.985Z","2019-12-11T07:32:02.985Z","","default","23","121.417671","54.45508","Successful","Real","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Purple Moon","1","Shape","0","367","480","Orange","Moon","2"
"atra10yy87v","2019-12-11T07:32:02.985Z","2019-12-11T07:32:02.985Z","","default","24","121.417671","54.45508","Successful","Real","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Orange Sun","1","Color","0","383","450","Orange","Moon","1"
"atra10yy87v","2019-12-11T07:32:02.985Z","2019-12-11T07:32:02.985Z","","default","25","121.417671","54.45508","Successful","Real","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Orange Sun","1","Shape","0","400","430","Purple","Sun","1"
"atra10yy87v","2019-12-11T07:32:02.985Z","2019-12-11T07:32:02.985Z","","default","26","121.417671","54.45508","Successful","Real","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Purple Moon","1","Shape","0","366","440","Orange","Moon","2"
"atra10yy87v","2019-12-11T07:32:02.985Z","2019-12-11T07:32:02.985Z","","default","27","121.417671","54.45508","Successful","Real","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Purple Moon","1","Shape","1","466","390","Orange","Moon","2"
"atra10yy87v","2019-12-11T07:32:02.985Z","2019-12-11T07:32:02.985Z","","default","28","121.417671","54.45508","Successful","Real","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Purple Moon","1","Color","0","334","400","Purple","Sun","1"
"atra10yy87v","2019-12-11T07:32:02.985Z","2019-12-11T07:32:02.985Z","","default","29","121.417671","54.45508","Successful","Real","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Orange Sun","1","Color","0","283","430","Orange","Moon","2"
"atra10yy87v","2019-12-11T07:32:02.985Z","2019-12-11T07:32:02.985Z","","default","30","121.417671","54.45508","Successful","Real","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Purple Moon","1","Shape","1","483","360","Orange","Moon","1"
"atra10yy87v","2019-12-11T07:32:02.985Z","2019-12-11T07:32:02.985Z","","default","31","121.417671","54.45508","Successful","Real","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Orange Sun","1","Shape","0","400","420","Purple","Sun","2"
"atra10yy87v","2019-12-11T07:32:02.985Z","2019-12-11T07:32:02.985Z","","default","32","121.417671","54.45508","Successful","Real","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Orange Sun","1","Shape","1","467","400","Purple","Sun","2"
"atra10yy87v","2019-12-11T07:32:02.985Z","2019-12-11T07:32:02.985Z","","default","33","121.417671","54.45508","Successful","Real","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Orange Sun","1","Color","0","350","400","Orange","Moon","1"
"atra10yy87v","2019-12-11T07:32:02.985Z","2019-12-11T07:32:02.985Z","","default","34","121.417671","54.45508","Successful","Real","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Purple Moon","1","Shape","0","316","390","Orange","Moon","1"
"atra10yy87v","2019-12-11T07:32:02.985Z","2019-12-11T07:32:02.985Z","","default","35","121.417671","54.45508","Successful","Real","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Orange Sun","0","Color","0","350","370","Purple","Sun","1"
"atra10yy87v","2019-12-11T07:32:02.985Z","2019-12-11T07:32:02.985Z","","default","36","121.417671","54.45508","Successful","Real","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Purple Moon","1","Shape","0","334","410","Orange","Moon","1"
"atra10yy87v","2019-12-11T07:32:02.985Z","2019-12-11T07:32:02.985Z","","default","37","121.417671","54.45508","Successful","Real","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Orange Sun","1","Shape","0","416","440","Purple","Sun","2"
"atra10yy87v","2019-12-11T07:32:02.985Z","2019-12-11T07:32:02.985Z","","default","38","121.417671","54.45508","Successful","Real","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Purple Moon","1","Shape","0","350","430","Orange","Moon","2"
"atra10yy87v","2019-12-11T07:32:02.985Z","2019-12-11T07:32:02.985Z","","default","39","121.417671","54.45508","Successful","Real","Windows 10","1440","2560","1.13.5sA2","Mountain Standard Time","0","Chrome 78","Desktop","ANGLE (NVIDIA GeForce RTX 2070 Direct3D11 vs_5_0 ps_5_0)","English","1","0","WebGLPlayer","512","0","Orange Sun","0","Color","0","366","400","Purple","Sun","1"
"atra18qexqb","2019-12-16T23:48:25.600Z","2019-12-16T23:48:25.600Z","","default","0","64.26105","2539.95044","Successful","StartingWindow","Windows 10","768","1366","1.13.5sA1","Eastern Standard Time","0","Chrome 78","Desktop","Google SwiftShader","English","1","0","WebGLPlayer","512","0","Purple Moon","1","Color","1","1066","-1","Purple","Moon","0"
"atra18qexqb","2019-12-16T23:48:25.600Z","2019-12-16T23:48:25.600Z","","default","1","64.26105","2539.95044","Successful","StartingWindow","Windows 10","768","1366","1.13.5sA1","Eastern Standard Time","0","Chrome 78","Desktop","Google SwiftShader","English","1","0","WebGLPlayer","512","0","Orange Sun","1","Color","1","717","-1","Orange","Sun","2"
"atra18qexqb","2019-12-16T23:48:25.600Z","2019-12-16T23:48:25.600Z","","default","2","64.26105","2539.95044","Successful","StartingWindow","Windows 10","768","1366","1.13.5sA1","Eastern Standard Time","0","Chrome 78","Desktop","Google SwiftShader","English","1","0","WebGLPlayer","512","0","Orange Sun","1","Shape","1","1083","-1","Purple","Sun","1"
"atra18qexqb","2019-12-16T23:48:25.600Z","2019-12-16T23:48:25.600Z","","default","3","64.26105","2539.95044","Successful","StartingWindow","Windows 10","768","1366","1.13.5sA1","Eastern Standard Time","0","Chrome 78","Desktop","Google SwiftShader","English","1","0","WebGLPlayer","512","0","Orange Sun","1","Color","1","550","-1","Orange","Moon","1"
"atra18qexqb","2019-12-16T23:48:25.600Z","2019-12-16T23:48:25.600Z","","default","4","64.26105","2539.95044","Successful","StartingWindow","Windows 10","768","1366","1.13.5sA1","Eastern Standard Time","0","Chrome 78","Desktop","Google SwiftShader","English","1","0","WebGLPlayer","512","0","Purple Moon","1","Color","1","467","-1","Purple","Sun","2"
"atra18qexqb","2019-12-16T23:48:48.934Z","2019-12-16T23:48:48.934Z","","default","0","64.6247","2520.09058","Successful","Real","Windows 10","768","1366","1.13.5sA1","Eastern Standard Time","0","Chrome 78","Desktop","Google SwiftShader","English","1","0","WebGLPlayer","512","0","Purple Moon","1","Color","0","617","817","Purple","Sun","0"
"atra18qexqb","2019-12-16T23:48:48.934Z","2019-12-16T23:48:48.934Z","","default","1","64.6247","2520.09058","Successful","Real","Windows 10","768","1366","1.13.5sA1","Eastern Standard Time","0","Chrome 78","Desktop","Google SwiftShader","English","1","0","WebGLPlayer","512","0","Purple Moon","1","Color","0","533","807","Purple","Sun","2"
"atra18qexqb","2019-12-16T23:48:48.934Z","2019-12-16T23:48:48.934Z","","default","2","64.6247","2520.09058","Successful","Real","Windows 10","768","1366","1.13.5sA1","Eastern Standard Time","0","Chrome 78","Desktop","Google SwiftShader","English","1","0","WebGLPlayer","512","0","Orange Sun","0","Shape","0","717","817","Orange","Moon","1"
"atra18qexqb","2019-12-16T23:48:48.934Z","2019-12-16T23:48:48.934Z","","default","3","64.6247","2520.09058","Successful","Real","Windows 10","768","1366","1.13.5sA1","Eastern Standard Time","0","Chrome 78","Desktop","Google SwiftShader","English","1","0","WebGLPlayer","512","0","Orange Sun","1","Shape","0","633","787","Orange","Sun","2"
"atra18qexqb","2019-12-16T23:48:48.934Z","2019-12-16T23:48:48.934Z","","default","4","64.6247","2520.09058","Successful","Real","Windows 10","768","1366","1.13.5sA1","Eastern Standard Time","0","Chrome 78","Desktop","Google SwiftShader","English","1","0","WebGLPlayer","512","0","Purple Moon","1","Shape","0","583","757","Purple","Moon","2"
"atra18qexqb","2019-12-16T23:48:48.934Z","2019-12-16T23:48:48.934Z","","default","5","64.6247","2520.09058","Successful","Real","Windows 10","768","1366","1.13.5sA1","Eastern Standard Time","0","Chrome 78","Desktop","Google SwiftShader","English","1","0","WebGLPlayer","512","0","Orange Sun","1","Color","0","617","857","Orange","Moon","1"
"atra18qexqb","2019-12-16T23:48:48.934Z","2019-12-16T23:48:48.934Z","","default","6","64.6247","2520.09058","Successful","Real","Windows 10","768","1366","1.13.5sA1","Eastern Standard Time","0","Chrome 78","Desktop","Google SwiftShader","English","1","0","WebGLPlayer","512","0","Orange Sun","1","Color","0","533","717","Orange","Moon","2"
"atra18qexqb","2019-12-16T23:48:48.934Z","2019-12-16T23:48:48.934Z","","default","7","64.6247","2520.09058","Successful","Real","Windows 10","768","1366","1.13.5sA1","Eastern Standard Time","0","Chrome 78","Desktop","Google SwiftShader","English","1","0","WebGLPlayer","512","0","Purple Moon","1","Color","0","633","667","Purple","Moon","2"
"atra18qexqb","2019-12-16T23:48:48.934Z","2019-12-16T23:48:48.934Z","","default","8","64.6247","2520.09058","Successful","Real","Windows 10","768","1366","1.13.5sA1","Eastern Standard Time","0","Chrome 78","Desktop","Google SwiftShader","English","1","0","WebGLPlayer","512","0","Orange Sun","1","Shape","0","633","847","Purple","Sun","1"
"atra18qexqb","2019-12-16T23:48:48.934Z","2019-12-16T23:48:48.934Z","","default","9","64.6247","2520.09058","Successful","Real","Windows 10","768","1366","1.13.5sA1","Eastern Standard Time","0","Chrome 78","Desktop","Google SwiftShader","English","1","0","WebGLPlayer","512","0","Purple Moon","1","Color","0","600","827","Purple","Moon","1"
"atra18qexqb","2019-12-16T23:48:48.934Z","2019-12-16T23:48:48.934Z","","default","10","64.6247","2520.09058","Successful","Real","Windows 10","768","1366","1.13.5sA1","Eastern Standard Time","0","Chrome 78","Desktop","Google SwiftShader","English","1","0","WebGLPlayer","512","0","Purple Moon","1","Shape","0","600","797","Purple","Moon","1"
"atra18qexqb","2019-12-16T23:48:48.934Z","2019-12-16T23:48:48.934Z","","default","11","64.6247","2520.09058","Successful","Real","Windows 10","768","1366","1.13.5sA1","Eastern Standard Time","0","Chrome 78","Desktop","Google SwiftShader","English","1","0","WebGLPlayer","512","0","Orange Sun","1","Shape","1","633","607","Purple","Sun","2"
"atra18qexqb","2019-12-16T23:48:48.934Z","2019-12-16T23:48:48.934Z","","default","12","64.6247","2520.09058","Successful","Real","Windows 10","768","1366","1.13.5sA1","Eastern Standard Time","0","Chrome 78","Desktop","Google SwiftShader","English","1","0","WebGLPlayer","512","0","Purple Moon","1","Shape","1","717","647","Orange","Moon","2"
"atra18qexqb","2019-12-16T23:48:48.934Z","2019-12-16T23:48:48.934Z","","default","13","64.6247","2520.09058","Successful","Real","Windows 10","768","1366","1.13.5sA1","Eastern Standard Time","0","Chrome 78","Desktop","Google SwiftShader","English","1","0","WebGLPlayer","512","0","Purple Moon","1","Color","0","550","757","Purple","Sun","1"
"atra18qexqb","2019-12-16T23:48:48.934Z","2019-12-16T23:48:48.934Z","","default","14","64.6247","2520.09058","Successful","Real","Windows 10","768","1366","1.13.5sA1","Eastern Standard Time","0","Chrome 78","Desktop","Google SwiftShader","English","1","0","WebGLPlayer","512","0","Orange Sun","0","Shape","0","550","707","Orange","Moon","1"
"atra18qexqb","2019-12-16T23:48:48.934Z","2019-12-16T23:48:48.934Z","","default","15","64.6247","2520.09058","Successful","Real","Windows 10","768","1366","1.13.5sA1","Eastern Standard Time","0","Chrome 78","Desktop","Google SwiftShader","English","1","0","WebGLPlayer","512","0","Orange Sun","1","Color","0","633","747","Orange","Sun","1"
